Red_ESRD,Medida,Puntaje_de_Medida,Año,Measure_id
1,"NETWORK: COVID - % of Medicare patients initially infected with COVID, 2022-Q4",5.11,2022,allmcFcovpatPq4_n
1,"NETWORK: COVID - % of Medicare patients ever infected with COVID, 2022-Q4",29.32,2022,allmcEcovpatPq4_n
1,"NETWORK: COVID - % of deaths with patients ever infected with COVID, 2022-Q4",43.76,2022,allmcEcovDeaPq4_n
1,"NETWORK: COVID - % of hospitalizations with patients ever infected with COVID, 2022-Q4",38.2,2022,allmcEcovHosPq4_n
1,"NETWORK: COVID Nursing Home - % of Medicare patients initially infected with COVID, 2022-Q4",10.67,2022,nh_mcFcovpatPq4_n
1,"NETWORK: COVID Nursing Home - % of Medicare patients ever infected with COVID, 2022-Q4",49.16,2022,nh_mcEcovpatPq4_n
1,"NETWORK: COVID Nursing Home - % of deaths with patients ever infected with COVID, 2022-Q4",52.55,2022,nh_mcEcovDeaPq4_n
1,"NETWORK: COVID Nursing Home - % of hospitalizations with patients ever infected with COVID, 2022-Q4",48.19,2022,nh_mcEcovHosPq4_n
1,"N: Prevalent Patients - Age: Average patient age, 12/31/2022",64.78,2022,agey4_n
1,"N: Prevalent Patients - Age: % Less than 18 years, 12/31/2022",0.2,2022,age1y4_n
1,"N: Prevalent Patients - Age: % Between 18-64 years, 12/31/2022",44.78,2022,age2y4_n
1,"N: Prevalent Patients - Age: % Greater than or equal to 65 years, 12/31/2022",55.02,2022,age3y4_n
1,"N: Prevalent Patients - Primary Cause of ESRD: % Diabetes, 12/31/2022",43.27,2022,dis1y4_n
1,"N: Prevalent Patients - Primary Cause of ESRD: % Hypertension, 12/31/2022",24.49,2022,dis2y4_n
1,"N: Prevalent Patients - Primary Cause of ESRD: % Glomerulonephritis, 12/31/2022",12.37,2022,dis3y4_n
1,"N: Prevalent Patients - Primary Cause of ESRD: % Other/Unknown Cause, 12/31/2022",19.5,2022,dis4y4_n
1,"N: Prevalent Patients - Primary Cause of ESRD: % Missing Cause, 12/31/2022",0.37,2022,dis5y4_n
1,"N: Prevalent Patients - Vintage: % on ESRD Therapy less than 1 year, 12/31/2022",17.56,2022,vin1y4_n
1,"N: Prevalent Patients - Vintage: % on ESRD Therapy for 1-2 years, 12/31/2022",18.52,2022,vin2y4_n
